LawsId	LawsTarget type	LawsDescription	LawsGhg target	LawsYear	LawsBase year period	LawsSingle year	LawsSource	LawsGeography	LawsGeography iso	LawsSector	LawsConnected law ids	LawsScopes	LawsVisibility status	LegislationsId	LegislationsLaw Id	LegislationsTitle	LegislationsLegislation type	LegislationsDescription	LegislationsParent	LegislationsGeography	LegislationsGeography iso	LegislationsSector	LegislationsFrameworks	LegislationsResponses	LegislationsDocument types	LegislationsKeywords	LegislationsNatural hazards	LegislationsVisibility status
8917.0	trajectory_target	Achieving at least 32.5% improvement in energy efficiency by 2030.	False	2030.0	2020	True	plan	Ireland	IRL	Energy	9523	Energy Efficiency	published															
8916.0	fixed_level_target	To increase electricity generated from renewable sources to 70%.	False	2030.0	2020	False	plan	Ireland	IRL	Energy	9523	Energy	published															
8915.0	fixed_level_target	To achieve a 34% share of renewable energy in energy consumption by 2030.	False	2030.0	2020	True	plan	Ireland	IRL	Energy	9523	Renewable Energy	published															
8914.0	fixed_level_target	To reduce emissions from sectors outside the EU's Emissions Trading System by 30% compared to 2005.	True	2030.0	2005	True	plan	Ireland	IRL	Economy-wide	9523	GHG	published															
8913.0	trajectory_target	To increase the share of renewable resources within gross final electricity consumption to at least 20% by 2030.	False	2030.0	2020	False	plan	Hungary	HUN	Energy	9505	Energy: General	published															
8912.0	trajectory_target	To increase the share of renewable energy sources to at least 21% within gross final energy consumption.	False	2030.0	2020	False	plan	Hungary	HUN	Energy	9505	Renewable Energy	published															
8911.0	fixed_level_target	To reduce GHG emissions by at least 40% compared to 1990.	True	2030.0	1990	True	plan	Hungary	HUN	Economy-wide	9505	GHG	published															
8910.0	fixed_level_target	Increase the share of RES in gross final energy consumption to a minimum share of 35%.	False	2030.0	2020	True	plan	Greece	GRC	Energy	9504	Renewable Energy	published															
8909.0	trajectory_target	Reducing greenhouse gas emissions by more than 42% compared to emissions in 1990.	True	2030.0	1990	False	plan	Greece	GRC	Economy-wide	9504	GHG	published															
8908.0	fixed_level_target	A reduction in primary energy consumption of 30%compared in 2030.	False	2030.0	2008	True	plan	Germany	DEU	Energy	9503	Energy	published															
8907.0	fixed_level_target	To increase the share of renewable energies in gross final energy consumption by 30% in 2030.	False	2030.0	2020	True	plan	Germany	DEU	Energy	9503	Renewable Energy	published															
8906.0	fixed_level_target	Reducing greenhouse gas emissions by at least 55 % compared to 1990.	True	2030.0	1990	True	plan	Germany	DEU	Economy-wide	9503	GHG	published															
8905.0	fixed_level_target	A 33% increase in the consumption of energy from renewable sources.	False	2030.0	2020	True	plan	France	FRA	Energy	9502	Renewable Energy	published															
8904.0	fixed_level_target	A 36% reduction in primary fossil energy consumption compared to 2012.	False	2030.0	2012	True	plan	France	FRA	Energy	9502	Energy	published															
8903.0	fixed_level_target	A 17 per cent reduction in final energy consumption compared to 2012.	False	2030.0	2012	True	plan	France	FRA	Energy	9502	Energy	published															
8902.0	fixed_level_target	Reducing GHG emissions by 39,5 % compared to 1990.	True	2030.0	1990	True	plan	France	FRA	Economy-wide	9502	GHG	published															
8901.0	trajectory_target	To increase the share of renewable energy to at least 30 % of the final energy use in road transport.	False	2030.0	2020	True	plan	Finland	FIN	Transportation	9501	Transport: General, Renewable Energy	published															
8900.0	trajectory_target	To increase the share of renewable energy to at least 51 % of the final energy use.	False	2030.0	2020	True	plan	Finland	FIN	Energy	9501	Renewable Energy	published															
8899.0	fixed_level_target	Reducing greenhouse gas emissions in the non-emissions trading sector by 39 % compared to 2005.	True	2030.0	2005	True	plan	Finland	FIN	Economy-wide	9501	GHG	published															
8898.0	fixed_level_target	Reduce GHG emission compared to 1990 emissions levels is 70% by 2030.	True	2030.0	1990	True	plan	Estonia	EST	Economy-wide	9500	GHG	published															
8897.0	trajectory_target	The average year-on-year growth of RES share in heating and cooling is proposed at 1 %.	False	2030.0	2020	False	plan	Czechia	CZE	Energy	9498	Renewable Energy, Buildings	published															
8896.0	fixed_level_target	Reduce greenhouse gases by 70% by 2030 (relative to 1990 level).	True	2030.0	1990	True	plan	Denmark	DNK	Economy-wide	9499	GHG	published															
8895.0	fixed_level_target	To reduce the total greenhouse gas emissions by 30 % by 2030 compared to 2005.	True	2030.0	2005	True	plan	Czechia	CZE	Economy-wide	9497	GHG	published															
8894.0	fixed_level_target	Primary Energy Consumption of 2.4 Mtoe in 2030, representing 17% reduction in primary energy consumption.	False	2030.0	2020	True	plan	Cyprus	CYP	Energy	9497	Energy	published															
8893.0	fixed_level_target	Final Energy Consumption of 2.0 Mtoe in 2030, representing 13% reduction in final energy consumption.	False	2030.0	2020	True	plan	Cyprus	CYP	Energy	9497	Energy	published															
8892.0	trajectory_target	Share of RES in the transport sector to reach 14%.	False	2030.0	2020	True	plan	Cyprus	CYP	Transportation	9497	Transport: General, Renewable Energy	published															
8891.0	trajectory_target	Share of RES in heating and cooling to reach 39%.	False	2030.0	2020	True	plan	Cyprus	CYP	Energy	9497	Renewable Energy, Buildings	published															
8890.0	trajectory_target	Share of RES in gross final electricity consumption can reach at least 26%.	False	2030.0	2020	True	plan	Cyprus	CYP	Energy	9497	Renewable Energy, Energy	published															
8889.0	trajectory_target	Share of RES in gross final energy consumption to reach 23%.	False	2030.0	2020	True	plan	Cyprus	CYP	Energy	9497	Renewable Energy, Energy	published															
8888.0	fixed_level_target	Reduce emissions in ETS sectors by 24.9% compared to 2005.	True	2030.0	2005	True	plan	Cyprus	CYP	Economy-wide	9497	GHG, ETS	published															
8887.0	fixed_level_target	Reduce emissions in the non-ETS sectors by 20.9% compared to 2005.	True	2030.0	2005	True	plan	Cyprus	CYP	Economy-wide	9497	GHG, non-ETS	published															
8886.0	fixed_level_target	Increase the RES share by 36.6 per cent in the gross direct consumption of energy for heating and cooling.	False	2030.0	2020	True	plan	Croatia	HRV	Energy	9496	Renewable Energy, Buildings	published															
8885.0	fixed_level_target	Increase the RES share by 13.2 per cent in the direct consumption of energy in transport.	False	2030.0	2020	True	plan	Croatia	HRV	Transportation	9496	Transport: General, Renewable Energy	published															
8884.0	fixed_level_target	Increase the RES share by 36.4 per cent in the gross direct consumption of energy.	False	2030.0	2020	True	plan	Croatia	HRV	Energy	9496	Renewable Energy, Energy: General	published															
8883.0	fixed_level_target	Increase the RES share by 63.8 per cent in the gross direct consumption of electricity	False	2030.0	2020	True	plan	Croatia	HRV	Energy	9496	Renewable Energy, Energy	published															
8882.0	trajectory_target	Reduce greenhouse gas emissions for non-ETS sectors: at least 7% compared to the 2005 level.	True	2030.0	2005	True	plan	Croatia	HRV	Energy	9496	GHG	published															
8881.0	trajectory_target	Reduce greenhouse gas emissionsin the ETS sector : at least 43% compared to the 2005 level.	True	2030.0	2005	True	plan	Croatia	HRV	Energy	9496	GHG	published															
8880.0	trajectory_target	Increase renewable energy sources by 17.5 per cent of final gross energy consumption.	False	2030.0	2020	True	plan	Belgium	BEL	Energy	9494	Renewable Energy	published															
8879.0	fixed_level_target	Reduction of GHG-ETS emissions by 35% compared to 2005.	True	2030.0	2005	True	plan	Belgium	BEL	Economy-wide	9494	GHG	published															
8878.0	trajectory_target	Increase the share of renewable energy in gross final energy consumption of energy to 46-50% and source 100% of electricity consumption from renewables (nationally/balanced)	False	2030.0	2020	True	plan	Austria	AUT	Energy	9493	Renewable Energy, Energy: General	published															
8877.0	intensity_target_and_trajectory_target	Improve primary energy intensity by 25-30% compared to 2015.	False	2030.0	2015	True	plan	Austria	AUT	Energy	9493	Energy Intensity, Energy	published															
8876.0	fixed_level_target	Transport GHG sector contribution: -7.2 million t CO2 equivalent compared to 2016 (total contribution).	True	2030.0	2016	True	plan	Austria	AUT	Transportation	9493	Transport: General	published															
8875.0	fixed_level_target	Reduction of GHG emissions (non-ETS) by 36% compared to 2005.	True	2030.0	2005	True	plan	Austria	AUT	Economy-wide	9493	GHG	published															
8874.0	fixed_level_target	Installing at least 6 GW of renewable hydrogen electrolysers in the EU by 2024 and 40 GW of renewable hydrogen electrolysers by 2030	False		2020	False	strategy	European Union	EUR	Energy	9491	Energy	published															
8873.0	fixed_level_target	Create 250,000 jobs and power 5 million households by 2023 with solar energy	False	2023.0	2020	True	plan	Nigeria	NGA	Energy	9488	Renewable Energy: Solar	published															
8872.0	baseline_scenario_target	Increasing the usage of RES in a sustainable manner up to 45% in gross final energy consumption.	False	2040.0	2020	True	strategy	North Macedonia (Republic of North Macedonia)	MKD	Energy	9484	Renewable Energy	published															
8871.0	baseline_scenario_target	In the Green scenario in 2040 the Strategy decreases GHG emissions up to 61.5% vs. 2005 or 72.8% vs. BAU	True	2040.0	2005	True	strategy	North Macedonia (Republic of North Macedonia)	MKD	Economy-wide	9484	Economy Wide	published															
8870.0	baseline_scenario_target	The Strategy maximises energy savings up to 51.8% of primary and 27.5% of final energy by 2040	False	2040.0	2020	False	strategy	North Macedonia (Republic of North Macedonia)	MKD	Energy	9484	Energy Efficiency	published															
8869.0	fixed_level_target	Implementation of 62 projects is envisaged in 2020-2030 including construction of 35 HPPs totalling 1537MW and modernisation of 27 existing HPPs with 186MW capacity added.	False	2030.0	2020	True	strategy	Uzbekistan	UZB	Energy	9454	Renewable Energy: Hydro	published															
8868.0	fixed_level_target	Construction of 3GW wind and 5GW solar power capacities by 2030.	False	2030.0	2020	True	strategy	Uzbekistan	UZB	Energy	9454	Renewable Energy: Solar, Renewable Energy: Wind	published															
8867.0	fixed_level_target	The share of renewable energy sources in the country's gross final energy consumption will be at least 21 percent by 2030	False	2030.0		True	law	Hungary	HUN	Energy	9457	Renewable Energy	published															
8866.0	fixed_level_target	10 billion trees planted over five years	False	2023.0	2018	False	policy	Pakistan	PAK	LULUCF	9471	Afforestation	published															
8865.0	fixed_level_target	The sector is particularly committed to amplifying its strategy geared towards environmental transition and developing its range of vehicles in line with the objectives set by European regulations in terms of reducing CO2 emissions. By 2025, the production of electric, plug-in hybrid or hybrid vehicles will increase to 1 million vehicles.	True	2025.0	2020	True	plan	France	FRA	Transportation	9463	E Vs And Electric Trains	published															
8864.0	fixed_level_target	We will increase the percentage of children aged 5 to 10 that usually walk to school from 49% in 2014 to 55% in 2025.	False	2025.0	2014	True	strategy	United Kingdom	GBR	Transportation	9460	Modal Shift	published															
8863.0	fixed_level_target	We aim to increase walking activity, where walking activity is measured as the total number of walking stages per person per year, to 300 stages per person per year in 2025, and will work towards developing the evidence base over the next year.	False	2025.0	2017	True	strategy	United Kingdom	GBR	Transportation	9460	Modal Shift	published															
8862.0	fixed_level_target	We aim to double cycling, where cycling activity is measured as the estimated total number of cycle stages made each year, from 0.8 billion stages in 2013 to 1.6 billion stages in 2025, and will work towards developing the evidence base over the next year.	False	2025.0	2013	True	strategy	United Kingdom	GBR	Transportation	9460	Modal Shift	published															
8861.0	intensity_target	Annual average reduction of energy intensity in final consumption 2.2% between 2020-2035, and 2.5% between 2035-2050.	False	2050.0	2020	False	strategy	Mexico	MEX	Energy	8618	Energy Intensity	published															
8860.0	baseline_scenario_target	Target on Clean Energy: 35% by 2024; 39-9% by 2033; and 50% by 2050.	False	2050.0	2018	False	strategy	Mexico	MEX	Energy	8618	Renewable Energy	published															
8859.0	fixed_level_target	90 % of electricity supply to be zero carbon by 2030	True	2030.0	2020	True	plan	Hungary	HUN	Energy	9458	Renewable Energy	published															
8858.0	fixed_level_target	Increase the capacity of solar plants by six	False	2030.0	2020	True	plan	Hungary	HUN	Energy	9458	Renewable Energy: Solar	published															
8857.0	fixed_level_target	Hungary will reduce its greenhouse gas emissions by at least 40 percent by 2030 compared to 1990. Hungary will achieve complete climate neutrality by 2050.	True	2050.0	1990	False	law	Hungary	HUN	Economy-wide	9457	Economy Wide	published															
8856.0	intensity_target_and_trajectory_target	Reduction of 3.5 mt of co2 emitted	True	2030.0	2019	True	plan	Netherlands	NLD	Agriculture	9456	Agriculture	published															
8855.0	fixed_level_target	1.5 m homes to transition from natural gas to sustainable heat	False	2030.0	2019	True	plan	Netherlands	NLD	Buildings	9456	Buildings	published															
8854.0	intensity_target_and_trajectory_target	Reduction of emissions of 3.4 mt of CO2	True	2030.0	2019	True	plan	Netherlands	NLD	Buildings	9456	Buildings	published															
8853.0	fixed_level_target	Zero emission from transport	False	2050.0	2019	False	plan	Netherlands	NLD	Transportation	9456	General	published															
8852.0	fixed_level_target	Three to four GW of electrolysis capacity for hydrogen	False	2030.0	2020	True	plan	Netherlands	NLD	Energy	9456	Hydrogen	published															
8851.0	fixed_level_target	49 TWh of wind power to be built in North Sea.	False	2030.0	2019	True	plan	Netherlands	NLD	Energy	9456	Renewable Energy: Wind	published															
8850.0	fixed_level_target	"Net zero objective by 2050. ""To set as an objective, for the purposes of the previous number, the reduction of GHG emissions for Portugal between 85% and 90% by 2050, compared to 2005, and the compensation of the remaining emissions through the use of soil and forests, to be achieved through a emission reduction trajectory between 45% and 55% by 2030, and between 65% and 75% by 2040, in relation to 2005."""	True	2050.0		False	strategy	Portugal	PRT	Economy-wide	9435	Economy Wide	published															
8849.0	fixed_level_target	Long-term Strategy submitted to UNFCCC pledges carbon neutrality by 2050.	True	2050.0		False	strategy	Japan	JPN	Economy-wide		Economy Wide	published															
8848.0	fixed_level_target	Make Iceland carbon neutral before 2040	True	2040.0		False	plan	Iceland	ISL	Economy-wide	9416	Economy Wide	published															
8847.0	fixed_level_target	Carbon neutrality by 2050 objective enshrined into law	True	2050.0		False	law	France	FRA	Economy-wide	9361	Economy Wide	published															
8846.0	fixed_level_target	The multi-party agreement to form a government of 3-jun-19 seeks to move the country towards carbon neutrality by 2035.	True	2035.0		False	plan	Finland	FIN	Economy-wide		Economy Wide	published															
8845.0	fixed_level_target	"Fiji ""aims to lead the way"" towards carbon neutrality by 2050."	True	2050.0		False	strategy	Fiji	FJI	Economy-wide	9413	Economy Wide	published															
8844.0	fixed_level_target	"The Government is working for a climate-neutral society by 2050. Stated in the government's 2018 proposal ""Together for a greener future""."	True	2050.0		False	policy	Denmark	DNK	Economy-wide		Economy Wide	published															
8843.0	fixed_level_target	Commitment to remain carbon neutral made in the Declaration of the Kingdom of Bhutan � the Land of Gross National Happiness to Save our Planet, from 11-dec-09.	True			False	policy	Bhutan	BTN	Economy-wide		Economy Wide	published															
8842.0	fixed_level_target	The Commission aims for the Union to be climate-neutral by 2050.	True	2050.0	2020	True	strategy	European Union	EUR	Economy-wide		Economy Wide	published															
8841.0	base_year_target	Emissions of biogenic methane in a calendar year(i)are 10% less than 2017 emissions by the calendar year beginning on 1 January 2030; and(ii)are 24% to 47% less than 2017 emissions by the calendar year beginning on 1 January 2050 and for each subsequent calendar year.	True	2030.0	2017	False	law	New Zealand	NZL	Economy-wide	1513	Economy Wide	published															
8840.0	base_year_target	Net accounting emissions of greenhouse gases in a calendar year, other than biogenic methane, are zero by the calendar year beginning on 1 January 2050 and for each subsequent calendar year	True	2050.0		False	law	New Zealand	NZL	Economy-wide	1513	Economy Wide	published															
8839.0	fixed_level_target	Total GHG emissions reduction at -38% in 2030 (+/- 5%), -76% in 2040 (+/- 5%), reaching net zero in 2050	True		1990	False	strategy	Latvia	LVA	Economy-wide	9426	Economy Wide	published															
8838.0	fixed_level_target	GHG emissions from land use â0¤1 047 ktCO2eq by 2030 and net zero by 2040	True		1990	False	strategy	Latvia	LVA	LULUCF	9426	Lulucf	published															
8837.0	fixed_level_target	-85% CO2 emissions excluding land use sector	True	2040.0	1990	True	strategy	Latvia	LVA	Economy-wide	9426	Economy Wide	published															
8836.0	fixed_level_target	-65% CO2 emissions excluding land use sector	True	2030.0	1990	True	strategy	Latvia	LVA	Economy-wide	9426	Economy Wide	published															
8835.0	fixed_level_target	By 2050, 4,500 hectares of green areas function as recreational parks in the GAM, and a system of environmental-pedestrian networks that serves as biological corridors and pedestrian corridors is consolidated.	False	2050.0	2018	True	plan	Costa Rica	CRI	LULUCF	9412	Lulucf	published															
8834.0	baseline_scenario_target	By 2030, maintain forest cover and increase to 60% while ensuring at the same time this type of coverage does not compete with the agricultural sector.	False	2030.0	2018	True	plan	Costa Rica	CRI	LULUCF	9412	Agroforestry, Lulucf/Forestry: General	published															
8833.0	fixed_level_target	By 2030, 70% of the livestock herd and 60% of the area dedicated to livestock implement low-carbon technologies.	False	2030.0	2018	True	plan	Costa Rica	CRI	Agriculture	9412	Agriculture	published															
8832.0	fixed_level_target	By 2050, 50% buildings, commercial, residential and institutional will operate with low emission standards (high electrification or use of renewable energy in cooking processes and water heating).	False	2050.0	2018	True	plan	Costa Rica	CRI	Buildings	9412	Buildings	published															
8831.0	fixed_level_target	By 2030, 100% of new buildings are designed and built adopting systems and technologies for low emissions and resilience under bioclimatic parameters.	False	2030.0	2018	True	plan	Costa Rica	CRI	Buildings	9412	Buildings	published															
8830.0	baseline_scenario_target	By 2025, place a 10% increase in the use of wood, bamboo and other local materials in buildings.	False	2025.0	2018	True	plan	Costa Rica	CRI	Buildings	9412	Buildings	published															
8829.0	fixed_level_target	By 2030 the electrical matrix manages to operate 100% with renewable energy.	False	2030.0	2018	True	plan	Costa Rica	CRI	Energy	9412	Renewable Energy	published															
8828.0	fixed_level_target	By 2050, freight transport will be highly efficient and will have reduced emissions by 20% compared to 2018 emissions.	True	2050.0	2018	True	plan	Costa Rica	CRI	Transportation	9412	Efficiency	published															
8827.0	fixed_level_target	By 2030, 20% of the train fleet operates with LPG.	False	2030.0	2018	True	plan	Costa Rica	CRI	Transportation	9412	Fuels	published															
8826.0	fixed_level_target	In 2050, 95% of the fleet - will be zero emissions.	True	2050.0	2018	True	plan	Costa Rica	CRI	Transportation	9412	General	published															
8825.0	fixed_level_target	In 2035, 30% of the light vehicle fleet - private and institutional - will be electric.	False	2035.0	2018	True	plan	Costa Rica	CRI	Transportation	9412	E Vs And Electric Trains	published															
